CINSbadguys2,CINSbadguys
199.217.112.0/21,hsi6_0 US
23.94.186.144/29,hudson0 US
75.127.11.240/29,hudson1 US
172.245.211.184/29,hudson2 US
74.82.0.0/18,hurricane10 US
184.104.0.0/15,hurricane11_0 US
74.82.0.0/18,hurricane74_0 US
24.12.0.0/14,illinois0 US
69.60.103.0/24,infolink0 US
64.20.32.0/19,interserver0 US
128.9.0.0/16,isinet0 US
207.244.67.192/27,leaseweb0 US
8.0.0.0/8,level3_0 US
MSFT_US,msft_0 US
MSFT_GFS,msft_gfs0 US
199.201.104.0/21,pheonixnap0 US
173.208.193.192/29,potenza0 US
104.149.0.0/16,psychz0 US
162.251.114.64/29,qfnoc0 US
74.82.0.0/18,shadowserver0 US
198.11.192.0/18,softlayer0 US
208.29.16.0/24,sprint_D01D10a Us
141.212.122.0/23,umich0 US
104.192.0.16/29,unk0 US
64.34.39.0/24,wowrack0 US
101.99.0.0/18,cmcti0 VN
118.69.160.0/20,fpt0 VN
183.80.208.0/20,fpt1 VN
123.30.128.0/15,vdc0 VN
